County Name,Median Home Price Q2 2017,Monthly Payment (r=4.5%),Monthly Payment (r=5.0%),Monthly Payment (r=5.5%)
Andrew County,"152,607",696,737,780
Atchison County,"86,172",393,416,440
Audrain County,"100,674",459,486,514
Barry County,"118,329",540,572,605
Barton County,"102,461",467,495,524
Bates County,"119,032",543,575,608
Benton County,"120,431",549,582,615
Bollinger County,"104,376",476,504,533
Boone County,"189,193",863,914,967
Buchanan County,"132,245",603,639,676
Butler County,"109,922",501,531,562
Caldwell County,"113,866",519,550,582
Callaway County,"138,639",632,670,708
Camden County,"185,270",845,895,947
Cape Girardeau County,"170,163",776,822,870
Carroll County,"85,962",392,415,439
Carter County,"95,000",433,459,485
Cass County,"189,154",863,914,967
Cedar County,"97,417",444,471,498
Chariton County,"85,437",390,413,437
Christian County,"171,735",783,830,878
Clark County,"89,325",407,432,456
Clay County,"193,551",883,935,989
Clinton County,"156,071",712,754,798
Cole County,"170,133",776,822,869
Cooper County,"135,458",618,654,692
Crawford County,"123,255",562,595,630
Dade County,"79,552",363,384,407
Dallas County,"113,995",520,551,583
Daviess County,"106,244",484,513,543
DeKalb County,"124,860",569,603,638
Mississippi Missouri,,,,
Dent County,"112,759",514,545,576
Douglas County,"106,874",487,516,546
Dunklin County,"73,036",333,353,373
Franklin County,"176,018",803,850,899
Gasconade County,"129,258",589,624,661
Gentry County,"89,955",410,435,460
Greene County,"157,088",716,759,803
Grundy County,"89,430",408,432,457
Harrison County,"76,504",349,370,391
Henry County,"96,891",442,468,495
Hickory County,"94,789",432,458,484
Holt County,"98,467",449,476,503
Howard County,"120,963",552,584,618
Howell County,"107,400",490,519,549
Iron County,"87,328",398,422,446
Jackson County,"156,401",713,756,799
Jasper County,"119,428",545,577,610
Jefferson County,"172,515",787,833,882
Johnson County,"154,479",704,746,789
Knox County,"76,084",347,368,389
Laclede County,"118,434",540,572,605
Lafayette County,"134,749",614,651,689
Lawrence County,"102,986",470,498,526
Lewis County,"89,850",410,434,459
Lincoln County,"163,597",746,790,836
Linn County,"84,491",385,408,432
Livingston County,"111,393",508,538,569
McDonald County,"104,065",475,503,532
Macon County,"93,528",427,452,478
Madison County,"104,878",478,507,536
Maries County,"129,048",588,623,659
Marion County,"119,275",544,576,610
Mercer County,"86,698",395,419,443
Miller County,"132,936",606,642,679
Mississippi County,"77,135",352,373,394
Moniteau County,"123,885",565,599,633
Monroe County,"108,346",494,523,554
Montgomery County,"110,658",505,535,565
Morgan County,"121,482",554,587,621
New Madrid County,"78,291",357,378,400
Newton County,"123,937",565,599,633
Nodaway County,"123,794",565,598,633
Oregon County,"91,637",418,443,468
Osage County,"147,009",670,710,751
Ozark County,"96,471",440,466,493
Pemiscot County,"77,029",351,372,394
Perry County,"138,611",632,670,708
Missouri,,,,
Pettis County,"117,068",534,566,598
Phelps County,"132,516",604,640,677
Pike County,"111,919",510,541,572
Platte County,"240,702","1,098","1,163","1,230"
Polk County,"130,128",593,629,665
Pulaski County,"148,910",679,719,761
Putnam County,"88,799",405,429,454
Ralls County,"132,411",604,640,677
Randolph County,"98,573",450,476,504
Ray County,"142,553",650,689,728
Reynolds County,"94,894",433,458,485
Ripley County,"92,267",421,446,471
St. Charles County,"233,665","1,066","1,129","1,194"
St. Clair County,"82,494",376,399,422
Ste. Genevieve County,"156,371",713,755,799
St. Francois County,"131,045",598,633,670
St. Louis County,"209,460",955,"1,012","1,070"
Saline County,"101,620",463,491,519
Schuyler County,"76,189",347,368,389
Scotland County,"86,172",393,416,440
Scott County,"108,556",495,524,555
Shannon County,"106,559",486,515,545
Shelby County,"73,877",337,357,378
Stoddard County,"95,945",438,464,490
Stone County,"168,771",770,815,862
Sullivan County,"81,653",372,394,417
Taney County,"130,729",596,632,668
Texas County,"111,183",507,537,568
Vernon County,"102,040",465,493,521
Warren County,"176,337",804,852,901
Washington County,"95,971",438,464,490
Wayne County,"76,399",348,369,390
Webster County,"130,022",593,628,664
Worth County,"63,683",290,308,325
Wright County,"94,054",429,454,481
St. Louis city,"150,114",685,725,767
Beaverhead County,"211,039",962,"1,020","1,078"
Big Horn County,"109,574",500,529,560
Blaine County,"94,014",429,454,480
Broadwater County,"213,669",974,"1,032","1,092"
Carbon County,"232,882","1,062","1,125","1,190"
Carter County,"107,273",489,518,548
Cascade County,"182,397",832,881,932
Chouteau County,"134,776",615,651,689
Custer County,"172,031",784,831,879
Daniels County,"135,324",617,654,692
Dawson County,"169,072",771,817,864
Missouri Montana,,,,
Deer Lodge County,"127,873",583,618,653
Fallon County,"168,963",770,816,863
Fergus County,"146,500",668,708,749
Flathead County,"296,397","1,352","1,432","1,515"
Gallatin County,"377,592","1,722","1,824","1,930"
Garfield County,"127,434",581,616,651
Glacier County,"115,053",525,556,588
Golden Valley County,"107,711",491,520,550
Granite County,"239,857","1,094","1,159","1,226"
Hill County,"140,255",640,678,717
Jefferson County,"289,275","1,319","1,398","1,478"
Judith Basin County,"151,760",692,733,776
Lake County,"245,555","1,120","1,186","1,255"
Lewis and Clark County,"267,579","1,220","1,293","1,367"
Liberty County,"118,340",540,572,605
Lincoln County,"192,302",877,929,983
McCone County,"122,613",559,592,627
Madison County,"276,345","1,260","1,335","1,412"
Meagher County,"149,349",681,722,763
Mineral County,"175,099",798,846,895
Missoula County,"317,097","1,446","1,532","1,620"
Musselshell County,"176,852",806,854,904
Park County,"258,156","1,177","1,247","1,319"
Petroleum County,"122,723",560,593,627
Phillips County,"129,078",589,624,660
Pondera County,"133,790",610,646,684
Powder River County,"121,517",554,587,621
Powell County,"154,499",705,746,790
Prairie County,"110,341",503,533,564
Ravalli County,"270,209","1,232","1,305","1,381"
Richland County,"233,392","1,064","1,128","1,193"
Roosevelt County,"127,544",582,616,652
Rosebud County,"129,955",593,628,664
Sanders County,"224,626","1,024","1,085","1,148"
Sheridan County,"160,526",732,776,820
Silver Bow County,"146,610",669,708,749
Stillwater County,"246,760","1,125","1,192","1,261"
Sweet Grass County,"247,527","1,129","1,196","1,265"
Teton County,"171,593",782,829,877
Toole County,"137,186",626,663,701
Treasure County,"115,600",527,559,591
Valley County,"148,582",678,718,759
Wheatland County,"97,849",446,473,500
Wibaux County,"120,641",550,583,616
Yellowstone County,"230,936","1,053","1,116","1,180"
Adams County,"122,156",557,590,624
Antelope County,"83,168",379,402,425
Montana Nebraska,,,,
Arthur County,"107,536",490,520,550
Banner County,"145,358",663,702,743
Blaine County,"91,008",415,440,465
Boone County,"111,879",510,541,572
Box Butte County,"111,668",509,540,571
Boyd County,"67,594",308,327,345
Brown County,"84,969",387,411,434
Buffalo County,"170,786",779,825,873
Burt County,"97,047",443,469,496
Butler County,"118,130",539,571,604
Cass County,"180,475",823,872,922
Cedar County,"120,355",549,581,615
Chase County,"116,435",531,563,595
Cherry County,"126,924",579,613,649
Cheyenne County,"120,885",551,584,618
Clay County,"90,054",411,435,460
Colfax County,"99,907",456,483,511
Cuming County,"119,931",547,579,613
Custer County,"98,318",448,475,502
Dakota County,"125,144",571,605,639
Dawes County,"113,892",519,550,582
Dawson County,"107,006",488,517,547
Deuel County,"80,837",369,391,413
Dixon County,"94,180",429,455,481
Dodge County,"126,712",578,612,648
Douglas County,"181,995",830,879,930
Dundy County,"78,294",357,378,400
Fillmore County,"80,625",368,390,412
Franklin County,"65,687",300,317,336
Frontier County,"104,039",474,503,532
Furnas County,"69,183",315,334,354
Gage County,"115,270",526,557,589
Garden County,"86,664",395,419,443
Garfield County,"101,815",464,492,520
Gosper County,"123,216",562,595,630
Grant County,"58,588",267,283,299
Greeley County,"73,527",335,355,376
Hall County,"144,617",659,699,739
Hamilton County,"144,299",658,697,737
Harlan County,"88,147",402,426,450
Hayes County,"82,108",374,397,420
Hitchcock County,"61,873",282,299,316
Holt County,"109,019",497,527,557
Hooker County,"90,902",415,439,465
Howard County,"126,712",578,612,648
Jefferson County,"79,990",365,386,409
Johnson County,"87,088",397,421,445
Nebraska,,,,
Kearney County,"136,247",621,658,696
Keith County,"114,846",524,555,587
Keya Paha County,"76,281",348,369,390
Kimball County,"88,147",402,426,450
Knox County,"90,160",411,436,461
Lancaster County,"195,190",890,943,997
Lincoln County,"138,578",632,670,708
Logan County,"117,495",536,568,600
Loup County,"168,561",769,814,861
McPherson County,"145,676",664,704,744
Madison County,"133,598",609,645,683
Merrick County,"96,305",439,465,492
Morrill County,"92,597",422,447,473
Nance County,"85,181",388,412,435
Nemaha County,"121,415",554,587,620
Nuckolls County,"66,005",301,319,337
Otoe County,"138,472",631,669,708
Pawnee County,"75,328",344,364,385
Perkins County,"111,879",510,541,572
Phelps County,"127,136",580,614,650
Pierce County,"108,701",496,525,555
Platte County,"144,723",660,699,740
Polk County,"106,158",484,513,542
Red Willow County,"96,941",442,468,495
Richardson County,"73,421",335,355,375
Rock County,"88,677",404,428,453
Saline County,"100,649",459,486,514
Sarpy County,"212,509",969,"1,027","1,086"
Saunders County,"173,091",789,836,885
Scotts Bluff County,"123,534",563,597,631
Seward County,"173,756",792,839,888
Sheridan County,"75,116",343,363,384
Sherman County,"90,478",413,437,462
Sioux County,"109,337",499,528,559
Stanton County,"118,554",541,573,606
Thayer County,"71,514",326,346,365
Thomas County,"87,194",398,421,446
Thurston County,"83,804",382,405,428
Valley County,"98,212",448,475,502
Washington County,"198,066",903,957,"1,012"
Wayne County,"140,909",643,681,720
Webster County,"80,095",365,387,409
Wheeler County,"110,502",504,534,565
York County,"136,035",620,657,695
Churchill County,"192,251",877,929,982
Clark County,"300,249","1,369","1,451","1,534"
Douglas County,"354,032","1,614","1,710","1,809"
Nebraska Nevada,,,,
Elko County,"225,221","1,027","1,088","1,151"
Esmeralda County,"83,563",381,404,427
Eureka County,"94,477",431,456,483
Humboldt County,"185,884",848,898,950
Lander County,"172,696",788,834,882
Lincoln County,"151,095",689,730,772
Lyon County,"179,631",819,868,918
Mineral County,"103,345",471,499,528
Nye County,"142,227",649,687,727
Pershing County,"114,941",524,555,587
Storey County,"214,644",979,"1,037","1,097"
Washoe County,"379,957","1,733","1,836","1,942"
White Pine County,"148,480",677,717,759
Carson City,"252,856","1,153","1,222","1,292"
Belknap County,"236,147","1,077","1,141","1,207"
Carroll County,"243,862","1,112","1,178","1,246"
Cheshire County,"214,611",979,"1,037","1,097"
Coos County,"132,002",602,638,675
Grafton County,"232,826","1,062","1,125","1,190"
Hillsborough County,"301,976","1,377","1,459","1,543"
Merrimack County,"248,040","1,131","1,198","1,268"
Rockingham County,"352,626","1,608","1,704","1,802"
Strafford County,"264,981","1,208","1,280","1,354"
Sullivan County,"183,325",836,886,937
Atlantic County,"221,890","1,012","1,072","1,134"
Bergen County,"498,038","2,271","2,406","2,545"
Burlington County,"264,665","1,207","1,279","1,352"
Camden County,"214,310",977,"1,035","1,095"
Cape May County,"302,192","1,378","1,460","1,544"
Cumberland County,"161,596",737,781,826
Essex County,"401,777","1,832","1,941","2,053"
Gloucester County,"240,516","1,097","1,162","1,229"
Hudson County,"400,082","1,824","1,933","2,044"
Hunterdon County,"429,098","1,957","2,073","2,193"
Mercer County,"303,427","1,384","1,466","1,551"
Middlesex County,"360,794","1,645","1,743","1,844"
Monmouth County,"446,571","2,036","2,158","2,282"
Morris County,"489,672","2,233","2,366","2,502"
Ocean County,"296,091","1,350","1,431","1,513"
Passaic County,"353,805","1,613","1,709","1,808"
Salem County,"208,787",952,"1,009","1,067"
Somerset County,"449,960","2,052","2,174","2,299"
Sussex County,"284,336","1,297","1,374","1,453"
Union County,"391,081","1,783","1,889","1,998"
Warren County,"290,944","1,327","1,406","1,487"
Bernalillo County,"206,291",941,997,"1,054"
Catron County,"168,761",770,815,862
Nevada New Hampshire New Jersey New Mexico,,,,
Chaves County,"123,136",562,595,629
Cibola County,"92,070",420,445,470
Colfax County,"108,577",495,525,555
Curry County,"134,517",613,650,687
De Baca County,"69,412",317,335,355
Doña Ana County,"151,870",693,734,776
Eddy County,"146,718",669,709,750
Grant County,"128,468",586,621,656
Guadalupe County,"83,150",379,402,425
Harding County,"69,514",317,336,355
Hidalgo County,"83,253",380,402,425
Lea County,"152,254",694,736,778
Lincoln County,"176,246",804,852,901
Los Alamos County,"292,513","1,334","1,413","1,495"
Luna County,"85,919",392,415,439
McKinley County,"74,128",338,358,379
Mora County,"111,858",510,540,572
Otero County,"120,983",552,585,618
Quay County,"74,025",338,358,378
Rio Arriba County,"171,325",781,828,875
Roosevelt County,"117,190",534,566,599
Sandoval County,"207,125",945,"1,001","1,058"
San Juan County,"150,763",688,728,770
San Miguel County,"136,260",621,658,696
Santa Fe County,"318,544","1,453","1,539","1,628"
Sierra County,"102,118",466,493,522
Socorro County,"105,604",482,510,540
Taos County,"223,922","1,021","1,082","1,144"
Torrance County,"116,377",531,562,595
Union County,"91,763",418,443,469
Valencia County,"136,590",623,660,698
Albany County,"236,877","1,080","1,144","1,210"
Allegany County,"78,265",357,378,400
Bronx County,"423,909","1,933","2,048","2,166"
Broome County,"119,138",543,576,609
Cattaraugus County,"94,281",430,456,482
Cayuga County,"129,089",589,624,660
Chautauqua County,"93,427",426,451,477
Chemung County,"124,406",567,601,636
Chenango County,"102,396",467,495,523
Clinton County,"146,173",667,706,747
Columbia County,"239,813","1,094","1,159","1,225"
Cortland County,"121,615",555,588,621
Delaware County,"147,347",672,712,753
Erie County,"167,643",764,810,857
Essex County,"156,850",715,758,802
Franklin County,"109,122",498,527,558
New Mexico New York,,,,
Fulton County,"114,888",524,555,587
Genesee County,"119,479",545,577,611
Greene County,"188,028",857,908,961
Hamilton County,"175,108",799,846,895
Herkimer County,"103,617",473,501,529
Jefferson County,"158,345",722,765,809
Kings County,"743,191","3,389","3,591","3,798"
Lewis County,"129,943",593,628,664
Livingston County,"146,002",666,705,746
Madison County,"154,024",702,744,787
Monroe County,"159,383",727,770,814
Montgomery County,"106,667",486,515,545
Nassau County,"518,794","2,366","2,506","2,651"
New York County,"1,033,669","4,714","4,994","5,282"
Niagara County,"136,586",623,660,698
Oneida County,"134,118",612,648,685
Onondaga County,"154,975",707,749,792
Ontario County,"179,238",817,866,916
Orleans County,"101,004",461,488,516
Oswego County,"109,127",498,527,558
Otsego County,"151,511",691,732,774
Putnam County,"380,915","1,737","1,840","1,947"
Queens County,"577,991","2,636","2,793","2,954"
Rensselaer County,"204,528",933,988,"1,045"
Richmond County,"530,866","2,421","2,565","2,713"
Rockland County,"464,998","2,120","2,247","2,376"
St. Lawrence County,"100,687",459,486,515
Saratoga County,"269,852","1,231","1,304","1,379"
Schenectady County,"171,553",782,829,877
Schoharie County,"149,535",682,722,764
Schuyler County,"122,469",558,592,626
Seneca County,"105,065",479,508,537
Steuben County,"104,104",475,503,532
Suffolk County,"417,873","1,906","2,019","2,135"
Sullivan County,"189,523",864,916,968
Tioga County,"117,886",538,570,602
Tompkins County,"206,347",941,997,"1,054"
Ulster County,"249,371","1,137","1,205","1,274"
Warren County,"201,549",919,974,"1,030"
Washington County,"150,384",686,727,768
Wayne County,"134,887",615,652,689
Westchester County,"580,109","2,645","2,803","2,964"
Wyoming County,"115,849",528,560,592
Yates County,"137,631",628,665,703
Alamance County,"163,649",746,791,836
Alexander County,"143,639",655,694,734
Alleghany County,"145,534",664,703,744
North Carolina New York,,,,
Anson County,"92,065",420,445,470
Ashe County,"160,837",733,777,822
Avery County,"148,531",677,718,759
Beaufort County,"132,265",603,639,676
Bertie County,"84,431",385,408,431
Bladen County,"95,775",437,463,489
Brunswick County,"233,052","1,063","1,126","1,191"
Buncombe County,"264,986","1,208","1,280","1,354"
Burke County,"136,337",622,659,697
Cabarrus County,"228,787","1,043","1,105","1,169"
Caldwell County,"130,561",595,631,667
Camden County,"238,099","1,086","1,150","1,217"
Carteret County,"218,837",998,"1,057","1,118"
Caswell County,"112,040",511,541,573
Catawba County,"156,063",712,754,797
Chatham County,"305,573","1,393","1,476","1,562"
Cherokee County,"155,701",710,752,796
Chowan County,"137,295",626,663,702
Clay County,"165,438",754,799,845
Cleveland County,"120,387",549,582,615
Columbus County,"91,173",416,440,466
Craven County,"170,789",779,825,873
Cumberland County,"137,345",626,664,702
Currituck County,"253,614","1,157","1,225","1,296"
Dare County,"304,980","1,391","1,473","1,558"
Davidson County,"149,815",683,724,766
Davie County,"185,124",844,894,946
Duplin County,"95,025",433,459,486
Durham County,"250,275","1,141","1,209","1,279"
Edgecombe County,"88,814",405,429,454
Forsyth County,"170,423",777,823,871
Franklin County,"170,876",779,826,873
Gaston County,"155,531",709,751,795
Gates County,"152,490",695,737,779
Graham County,"133,549",609,645,682
Granville County,"156,343",713,755,799
Greene County,"90,370",412,437,462
Guilford County,"177,609",810,858,908
Halifax County,"92,564",422,447,473
Harnett County,"161,265",735,779,824
Haywood County,"194,132",885,938,992
Henderson County,"233,311","1,064","1,127","1,192"
Hertford County,"92,885",424,449,475
Hoke County,"138,553",632,669,708
Hyde County,"86,679",395,419,443
Iredell County,"203,488",928,983,"1,040"
Jackson County,"189,623",865,916,969
North Carolina,,,,
Johnston County,"172,173",785,832,880
Jones County,"99,199",452,479,507
Lee County,"148,103",675,716,757
Lenoir County,"100,055",456,483,511
Lincoln County,"185,010",844,894,945
McDowell County,"118,140",539,571,604
Macon County,"173,357",791,838,886
Madison County,"190,048",867,918,971
Martin County,"88,926",406,430,454
Mecklenburg County,"257,495","1,174","1,244","1,316"
Mitchell County,"150,457",686,727,769
Montgomery County,"113,324",517,548,579
Moore County,"250,191","1,141","1,209","1,279"
Nash County,"139,247",635,673,712
New Hanover County,"263,828","1,203","1,275","1,348"
Northampton County,"87,642",400,423,448
Onslow County,"160,548",732,776,820
Orange County,"308,107","1,405","1,489","1,574"
Pamlico County,"161,158",735,779,824
Pasquotank County,"170,040",775,822,869
Pender County,"181,831",829,878,929
Perquimans County,"177,103",808,856,905
Person County,"130,535",595,631,667
Pitt County,"159,017",725,768,813
Polk County,"219,907","1,003","1,062","1,124"
Randolph County,"134,637",614,650,688
Richmond County,"85,609",390,414,437
Robeson County,"82,505",376,399,422
Rockingham County,"128,267",585,620,655
Rowan County,"142,992",652,691,731
Rutherford County,"133,228",608,644,681
Sampson County,"93,848",428,453,480
Scotland County,"91,173",416,440,466
Stanly County,"142,324",649,688,727
Stokes County,"134,923",615,652,689
Surry County,"134,084",611,648,685
Swain County,"130,874",597,632,669
Transylvania County,"216,269",986,"1,045","1,105"
Tyrrell County,"121,029",552,585,618
Union County,"255,516","1,165","1,234","1,306"
Vance County,"102,195",466,494,522
Wake County,"298,303","1,360","1,441","1,524"
Warren County,"100,483",458,485,513
Washington County,"92,029",420,445,470
Watauga County,"257,575","1,175","1,244","1,316"
Wayne County,"130,038",593,628,665
Wilkes County,"144,892",661,700,740
North Carolina,,,,
Wilson County,"131,944",602,637,674
Yadkin County,"138,625",632,670,708
Yancey County,"149,601",682,723,764
Adams County,"147,510",673,713,754
Barnes County,"119,311",544,576,610
Benson County,"70,141",320,339,358
Billings County,"188,637",860,911,964
Bottineau County,"143,030",652,691,731
Bowman County,"152,294",694,736,778
Burke County,"117,377",535,567,600
Burleigh County,"269,916","1,231","1,304","1,379"
Cass County,"229,846","1,048","1,110","1,175"
Cavalier County,"97,220",443,470,497
Dickey County,"112,388",513,543,574
Divide County,"153,516",700,742,784
Dunn County,"171,840",784,830,878
Eddy County,"75,536",344,365,386
Emmons County,"93,861",428,453,480
Foster County,"127,862",583,618,653
Golden Valley County,"122,059",557,590,624
Grand Forks County,"205,312",936,992,"1,049"
Grant County,"81,237",370,392,415
Griggs County,"93,453",426,452,478
Hettinger County,"110,149",502,532,563
Kidder County,"106,280",485,513,543
LaMoure County,"92,741",423,448,474
Logan County,"80,423",367,389,411
McHenry County,"118,802",542,574,607
McIntosh County,"73,602",336,356,376
McKenzie County,"217,447",992,"1,051","1,111"
McLean County,"162,169",740,784,829
Mercer County,"169,193",772,817,865
Morton County,"190,362",868,920,973
Mountrail County,"172,858",788,835,883
Nelson County,"80,117",365,387,409
Oliver County,"174,894",798,845,894
Pembina County,"87,040",397,421,445
Pierce County,"112,388",513,543,574
Ramsey County,"132,748",605,641,678
Ransom County,"122,772",560,593,627
Renville County,"128,167",584,619,655
Richland County,"118,089",539,571,603
Rolette County,"75,027",342,362,383
Sargent County,"98,136",448,474,501
Sheridan County,"86,429",394,418,442
Sioux County,"77,674",354,375,397
Slope County,"90,908",415,439,465
North Dakota North Carolina,,,,
Stark County,"232,310","1,059","1,122","1,187"
Steele County,"73,297",334,354,375
Stutsman County,"133,257",608,644,681
Towner County,"74,315",339,359,380
Traill County,"129,491",591,626,662
Walsh County,"85,207",389,412,435
Ward County,"210,321",959,"1,016","1,075"
Wells County,"85,716",391,414,438
Williams County,"243,203","1,109","1,175","1,243"
Adams County,"105,189",480,508,538
Allen County,"128,665",587,622,657
Ashland County,"130,950",597,633,669
Ashtabula County,"121,719",555,588,622
Athens County,"165,727",756,801,847
Auglaize County,"153,598",700,742,785
Belmont County,"120,458",549,582,616
Brown County,"127,936",583,618,654
Butler County,"181,008",825,875,925
Carroll County,"125,718",573,607,642
Champaign County,"135,995",620,657,695
Clark County,"132,014",602,638,675
Clermont County,"174,213",794,842,890
Clinton County,"132,775",605,641,678
Columbiana County,"109,483",499,529,559
Coshocton County,"102,506",467,495,524
Crawford County,"91,880",419,444,470
Cuyahoga County,"141,414",645,683,723
Darke County,"121,504",554,587,621
Defiance County,"120,968",552,584,618
Delaware County,"329,070","1,501","1,590","1,682"
Fairfield County,"204,107",931,986,"1,043"
Fayette County,"116,889",533,565,597
Franklin County,"189,199",863,914,967
Fulton County,"143,997",657,696,736
Gallia County,"110,771",505,535,566
Geauga County,"278,318","1,269","1,345","1,422"
Greene County,"188,255",858,910,962
Guernsey County,"110,663",505,535,566
Hamilton County,"163,533",746,790,836
Hancock County,"143,294",653,692,732
Hardin County,"102,399",467,495,523
Harrison County,"95,100",434,459,486
Henry County,"124,724",569,603,637
Highland County,"115,708",528,559,591
Hocking County,"127,086",580,614,649
Holmes County,"197,284",900,953,"1,008"
Huron County,"127,515",581,616,652
North Dakota Ohio,,,,
Jackson County,"100,788",460,487,515
Jefferson County,"102,791",469,497,525
Knox County,"149,090",680,720,762
Lake County,"169,332",772,818,865
Lawrence County,"102,895",469,497,526
Licking County,"185,691",847,897,949
Logan County,"136,531",623,660,698
Lorain County,"154,192",703,745,788
Lucas County,"124,327",567,601,635
Madison County,"171,770",783,830,878
Mahoning County,"109,856",501,531,561
Marion County,"105,404",481,509,539
Medina County,"213,893",975,"1,033","1,093"
Meigs County,"93,812",428,453,479
Mercer County,"148,016",675,715,756
Miami County,"161,597",737,781,826
Monroe County,"104,545",477,505,534
Montgomery County,"129,983",593,628,664
Morgan County,"97,139",443,469,496
Morrow County,"152,806",697,738,781
Muskingum County,"120,646",550,583,617
Noble County,"97,998",447,473,501
Ottawa County,"155,436",709,751,794
Paulding County,"99,286",453,480,507
Perry County,"110,019",502,532,562
Pickaway County,"166,618",760,805,851
Pike County,"107,443",490,519,549
Portage County,"169,260",772,818,865
Preble County,"128,771",587,622,658
Putnam County,"157,999",721,763,807
Richland County,"113,728",519,549,581
Ross County,"131,916",602,637,674
Sandusky County,"120,109",548,580,614
Scioto County,"108,517",495,524,555
Seneca County,"105,833",483,511,541
Shelby County,"147,909",674,715,756
Stark County,"142,416",649,688,728
Summit County,"155,498",709,751,795
Trumbull County,"109,339",499,528,559
Tuscarawas County,"136,424",622,659,697
Union County,"203,887",930,985,"1,042"
Van Wert County,"106,263",485,513,543
Vinton County,"91,987",419,444,470
Warren County,"230,306","1,050","1,113","1,177"
Washington County,"119,199",544,576,609
Wayne County,"160,575",732,776,821
Williams County,"101,110",461,489,517
Ohio,,,,
Wood County,"184,834",843,893,945
Wyandot County,"118,714",541,574,607
Adair County,"83,023",379,401,424
Alfalfa County,"76,173",347,368,389
Atoka County,"100,609",459,486,514
Beaver County,"108,891",497,526,556
Beckham County,"119,729",546,578,612
Blaine County,"85,681",391,414,438
Bryan County,"101,120",461,489,517
Caddo County,"83,739",382,405,428
Canadian County,"174,308",795,842,891
Carter County,"111,447",508,538,570
Cherokee County,"113,799",519,550,582
Choctaw County,"90,794",414,439,464
Cimarron County,"58,689",268,284,300
Cleveland County,"170,332",777,823,870
Coal County,"89,771",409,434,459
Comanche County,"144,256",658,697,737
Cotton County,"79,342",362,383,405
Craig County,"98,258",448,475,502
Creek County,"141,560",646,684,723
Custer County,"130,465",595,630,667
Delaware County,"112,470",513,543,575
Dewey County,"88,647",404,428,453
Ellis County,"85,579",390,413,437
Garfield County,"106,335",485,514,543
Garvin County,"95,497",435,461,488
Grady County,"122,622",559,592,627
Grant County,"78,115",356,377,399
Greer County,"67,277",307,325,344
Harmon County,"50,816",232,246,260
Harper County,"78,013",356,377,399
Haskell County,"89,464",408,432,457
Hughes County,"70,958",324,343,363
Jackson County,"99,996",456,483,511
Jefferson County,"61,040",278,295,312
Johnston County,"81,285",371,393,415
Kay County,"85,988",392,415,439
Kingfisher County,"139,258",635,673,712
Kiowa County,"63,903",291,309,327
Latimer County,"82,921",378,401,424
Le Flore County,"93,289",425,451,477
Lincoln County,"108,184",493,523,553
Logan County,"160,183",730,774,819
Love County,"96,724",441,467,494
McClain County,"174,099",794,841,890
McCurtain County,"79,751",364,385,408
Ohio Oklahoma,,,,
McIntosh County,"97,440",444,471,498
Major County,"96,110",438,464,491
Marshall County,"88,544",404,428,452
Mayes County,"109,096",497,527,557
Murray County,"109,505",499,529,560
Muskogee County,"109,402",499,529,559
Noble County,"96,928",442,468,495
Nowata County,"83,432",380,403,426
Okfuskee County,"80,876",369,391,413
Oklahoma County,"159,346",727,770,814
Okmulgee County,"84,202",384,407,430
Osage County,"115,450",526,558,590
Ottawa County,"86,193",393,416,440
Pawnee County,"91,752",418,443,469
Payne County,"159,911",729,773,817
Pittsburg County,"100,609",459,486,514
Pontotoc County,"123,001",561,594,629
Pottawatomie County,"121,569",554,587,621
Pushmataha County,"75,048",342,363,384
Roger Mills County,"108,482",495,524,554
Rogers County,"165,153",753,798,844
Seminole County,"72,799",332,352,372
Sequoyah County,"98,959",451,478,506
Stephens County,"106,335",485,514,543
Texas County,"111,754",510,540,571
Tillman County,"55,315",252,267,283
Tulsa County,"163,161",744,788,834
Wagoner County,"168,404",768,814,861
Washington County,"115,128",525,556,588
Washita County,"82,001",374,396,419
Woods County,"95,190",434,460,486
Woodward County,"125,762",573,608,643
Baker County,"160,150",730,774,818
Benton County,"383,621","1,749","1,853","1,960"
Clackamas County,"436,075","1,989","2,107","2,228"
Clatsop County,"279,272","1,274","1,349","1,427"
Columbia County,"240,909","1,099","1,164","1,231"
Coos County,"195,017",889,942,997
Crook County,"205,907",939,995,"1,052"
Curry County,"243,414","1,110","1,176","1,244"
Deschutes County,"404,646","1,845","1,955","2,068"
Douglas County,"220,646","1,006","1,066","1,128"
Gilliam County,"121,982",556,589,623
Grant County,"170,929",779,826,873
Harney County,"123,082",561,595,629
Hood River County,"373,316","1,702","1,804","1,908"
Jackson County,"320,426","1,461","1,548","1,637"
Oklahoma Oregon,,,,
Jefferson County,"196,117",894,948,"1,002"
Josephine County,"305,780","1,394","1,477","1,563"
Klamath County,"197,217",899,953,"1,008"
Lake County,"135,401",617,654,692
Lane County,"289,823","1,322","1,400","1,481"
Lincoln County,"250,454","1,142","1,210","1,280"
Linn County,"237,695","1,084","1,148","1,215"
Malheur County,"140,461",641,679,718
Marion County,"275,126","1,255","1,329","1,406"
Morrow County,"144,751",660,699,740
Multnomah County,"424,963","1,938","2,053","2,172"
Polk County,"292,846","1,335","1,415","1,496"
Sherman County,"158,390",722,765,809
Tillamook County,"256,833","1,171","1,241","1,312"
Umatilla County,"189,188",863,914,967
Union County,"189,298",863,915,967
Wallowa County,"239,344","1,091","1,156","1,223"
